year,accomplishment,person,gender,category
1944,First black person to co-pastor with a white minister at the first interracial church,"Dr. Howard Thurman with Dr. Alfred Fisk, Church for the Fellowship of All Peoples, San Francisco",Male Achievement,Religion
1944,First black person to receive a contract with a major American opera company,Camilla Williams,Male Achievement,Arts & Entertainment
1944,First known black comic book artist,Matt Baker in Jumbo Comics #69 for Fiction House,Male Achievement,Arts & Entertainment
1944,First black reporter to attend a U.S. presidential news conference,Harry McAlpin,Male Achievement,Social & Jobs
1945,First black member of the New York City Opera,Todd Duncan,Male Achievement,Arts & Entertainment
1945,First black U.S. Marine Corps officer,Frederick C. Branch,Male Achievement,Military
1947,First black Major League Baseball player of the modern era,Jackie Robinson (Brooklyn Dodgers),Male Achievement,Education & Science
1947,First black consensus college All-American basketball player,Don Barksdale,Male Achievement,Education & Science
1947,First black artist to receive sole credit for a #1 hit on the Billboard charts,"Count Basie (Open the Door, Richard), topped Best Sellers in Stores chart on February 22",Male Achievement,Arts & Entertainment
1947,First comic book produced entirely by black people,"All-Negro Comics, , published in 1947, was a single-issue, small-press American comic book that represents the first known comics magazine written and drawn solely by African-American writers and artists",Male Achievement,Arts & Entertainment
1947,First black full-time faculty member at a predominantly white law school,William Robert Ming (University of Chicago Law School),Male Achievement,Law
1947,First black female member of the U.S. House and Senate press galleries,Alice Allison Dunnigan,Female Achievement,Social & Jobs
1948,First black man to receive an Oscar,"James Baskett (Honorary Academy Award for his portrayal of Uncle Remus in Song of the South, 1946)",Male Achievement,Arts & Entertainment
1948,First black U.S. Navy aviator,Jesse L. Brown,Male Achievement,Military
1948,First black composer to have an opera performed by a major U.S. company,"William Grant Still (Troubled Island, New York City Opera)",Male Achievement,Arts & Entertainment
1948,First black woman to win an Olympic gold medal,Alice Coachman,Female Achievement,Education & Science
1948,First black student since Reconstruction to enroll at a traditionally white university of the South,Silas Hunt (University of Arkansas Law School),Male Achievement,Education & Science
1948,First known black actor to star in a regularly scheduled network television series,"Bob Howard, The Bob Howard Show",Male Achievement,Arts & Entertainment
1948,First black person to star in network television sitcom,"Amanda Randolph, The Laytons",Male Achievement,Arts & Entertainment
1948,First black male student to graduate from Oregon State College,William Tebeau,Male Achievement,Education & Science
1948,First black female reporter to travel with a U.S. president (Harry S. Truman's election campaign),Alice Allison Dunnigan,Female Achievement,Social & Jobs
1949,First black graduate of the U.S. Naval Academy,Wesley Brown,Male Achievement,Military
1949,First black person to hold rank of Ambassador of the United States,"Edward R. Dudley, ambassador, and previously minister, to Liberia",Male Achievement,Education & Science
1949,First black person to win an MVP award in Major League Baseball,"Jackie Robinson (Brooklyn Dodgers, National League)",Male Achievement,Education & Science
1949,First black-owned and -operated radio station,"WERD, established October 3, 1949 in Atlanta, Georgia by Jesse B. Blayton Sr.",Male Achievement,Arts & Entertainment
1949,First black woman president of an NAACP chapter nationwide,Florence LeSueur of Boston's NAACP chapter.,Female Achievement,Politics
1950,First black person to win a Tony Award,"Juanita Hall (Best Featured Actress in a Musical, South Pacific)",Male Achievement,Arts & Entertainment
1950,First black person to win Pulitzer Prize,"Gwendolyn Brooks (Book of poetry, Annie Allen, 1949)",Male Achievement,Arts & Entertainment
1950,First black person to win Nobel Peace Prize,Ralph Bunche,Male Achievement,Education & Science
1950,First black person to receive a lifetime appointment as federal judge,"William H. Hastie, U.S. Court of Appeals for the Third Circuit",Male Achievement,Law
1950,First black woman to compete on the world tennis tour,Althea Gibson,Female Achievement,Sports
1950,First black solo singer to have a #1 hit on the Billboard charts,"Nat King Cole (Mona Lisa), topped Best Sellers in Stores chart on July 15",Male Achievement,Arts & Entertainment
1950,First black delegate to the United Nations,Edith S. Sampson,Male Achievement,Politics
1950,First black NBA basketball players,"Nat Sweetwater Clifton (New York Knicks), Chuck Cooper (Boston Celtics), and Earl Lloyd (Washington Capitols)",Male Achievement,Education & Science
1951,First black person named to the College Football Hall of Fame,"Duke Slater, University of Iowa",Male Achievement,Education & Science
1951,First black quarterback to become a regular starter for a professional football team,Bernie Custis (Hamilton Tiger-Cats),Male Achievement,Sports
1952,First black driver in NASCAR,Wendell Scott,Male Achievement,Sports
1952,First black woman elected to a U.S. state senate,"Cora Brown, (Michigan)",Female Achievement,Politics
1952,First black U.S. Marine Corps aviator,Frank E. Petersen,Male Achievement,Military
1952,First black woman to be nominated for a national political office,"Charlotta Bass, Vice President (Progressive Party)",Female Achievement,Politics
1952,First black graduate from University of Arkansas for Medical Sciences,Edith Irby Jones,Male Achievement,Education & Science
1953,First black basketball player to play in the NBA All-Star Game,Don Barksdale in the 1953 NBA All-Star Game,Male Achievement,Education & Science
1953,First black quarterback to play in the National Football League during the modern (post-World War II) era,Willie Thrower (Chicago Bears),Male Achievement,Education & Science
1954,First black U.S. Navy Diver,Carl Brashear,Male Achievement,Military
1954,First black woman to be nominated for the Academy Award for Best Actress,"Dorothy Dandridge (Carmen Jones, 1954)",Female Achievement,Arts & Entertainment
1954,First individual black woman as subject on the cover of Life magazine,"Dorothy Dandridge, November 1, 1954",Female Achievement,Arts & Entertainment
1954,"First black page for the U.S. Supreme Court, and first to be enrolled in the Capitol Page School",Charles V. Bush.,Male Achievement,Education & Science
1955,First black member of the Metropolitan Opera,Marian Anderson,Male Achievement,Arts & Entertainment
